target,text,clean_text
1,"@seblefebvre Hi Seb! I'm a spanish fan of you.I'm addicted to SP and I think it's the best band in the world!please, come to spain early ",hi seb im a spanish fan of youim addicted to sp and i think its the best band in the worldplease come to spain early
1,Home from soccer. It's so hot out there today. We have retreated to the coolness of the basement. ,home from soccer its so hot out there today we have retreated to the coolness of the basement
1,i have find my someone ,i have find my someone
1,@marqueshouston We are the &quot;Fugazi Patrol&quot; &amp; our motto is &quot;If u see a clown point em out&quot; please let everyone know about us ,we are the quotfugazi patrolquot amp our motto is quotif u see a clown point em outquot please let everyone know about us
1,it is ginormous... Haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt,it is ginormous haha well i feel wierd talking about myy ziiiit ta ta good nightt
1,I'm obsessed with twitting  haha,im obsessed with twitting haha
1,One interlock down one to go ,one interlock down one to go
0,"ugh...summer colds are the worst, esp when you have a fever on top of this ridic humidity ",ughsummer colds are the worst esp when you have a fever on top of this ridic humidity
0,I miss Zack so much these days ,i miss zack so much these days
0,@dbferguson I'm using an Asus. Forget which one at the moment since I don't have it near me.But my complaints are similar to yours. ,im using an asus forget which one at the moment since i dont have it near mebut my complaints are similar to yours
1,"@powersurf OH I've Got a case. I designed it. Someone idiot stole it and I can prove it. If they want to play hardball,I'm game. ",oh ive got a case i designed it someone idiot stole it and i can prove it if they want to play hardballim game
0,my thumb hurts after breaking the nail.... ,my thumb hurts after breaking the nail
1,"@amymacdonald1 Congrats on the 4x platinum  It's a fantastic album, one of my favs",congrats on the x platinum its a fantastic album one of my favs
1,"@JosephFrost Yeahh, that would be pretty awesome. ",yeahh that would be pretty awesome
1,@benlizzotte so i think you should work for the discovery channel b/c then it would be media AND sharks! ,so i think you should work for the discovery channel bc then it would be media and sharks
0,"@paddyrules home is mums house lol hm maddens could be a plan, am actually stone cold broke atm tho not even sure i could afford door fee ",home is mums house lol hm maddens could be a plan am actually stone cold broke atm tho not even sure i could afford door fee
0,@MandyyJirouxx that page doesn't exist ,that page doesnt exist
0,fighting a cold. ,fighting a cold
0,@greeleyalex  aw im jealous! I miss home. I wish I could be home in CG right now! Watching spanish tv with my Gparents,aw im jealous i miss home i wish i could be home in cg right now watching spanish tv with my gparents
0,@aleshacal my phone is dying  no charger here!,my phone is dying no charger here
1,@mileycyrus Green Day new cd on the 15th and you on the 16th. woo!! ,green day new cd on the th and you on the th woo
0,my tv always freezes while i'm watching inbetweeners ,my tv always freezes while im watching inbetweeners
0,@softjunebreeze Ex-factor.... Me too ,exfactor me too
0, Back to school on Monday...Well I did get an iPod Touch. @shmuxel + @randomized180 See yah tomorrow then I guess ,back to school on mondaywell i did get an ipod touch see yah tomorrow then i guess
0,@LisaAnneWest i missed it  have to catch up on sunday ohh ye so  fancy ldn on sunday? xoxo,i missed it have to catch up on sunday ohh ye so fancy ldn on sunday xoxo
0,tried to check out your site @poeticmindset ... not working ,tried to check out your site not working
1,Watching Wayne Dyer's new program on PBS &quot;Excuses Begone!&quot;. Lower mainlanders can check it out on ch. 27 or 204 on Shaw! Peace ,watching wayne dyers new program on pbs quotexcuses begonequot lower mainlanders can check it out on ch or on shaw peace
0,pimples attack! Arghhhhhhhhh ,pimples attack arghhhhhhhhh
0,"has to pack, stillll. and doesn't want to.. ",has to pack stillll and doesnt want to
0,@snikkins How dare you get some before I have a chance to. You're no longer my friend ,how dare you get some before i have a chance to youre no longer my friend
1,"Can't stop listening to the clips of @Jonasbrothers new album Lines, Vines and Trying Times its so amazing can't wait for the whole thing ",cant stop listening to the clips of new album lines vines and trying times its so amazing cant wait for the whole thing
0,about to pour in orlando ,about to pour in orlando
1,"@carriecruz I know! I don't think they air it on any of the cable channels anymore, but you can download them from the net ",i know i dont think they air it on any of the cable channels anymore but you can download them from the net
1,@AprAnaya  you will !   check the website so you can have an idea as to what product u want to try . I will sent u the email tomorrow ,you will check the website so you can have an idea as to what product u want to try i will sent u the email tomorrow
0,@annieomnious    can it be fixed?  can we make a new simple one mayb?,can it be fixed can we make a new simple one mayb
0,blÃ¤Ã¤ i have a headache ,blãã i have a headache
1,Has just joined Twitter.. It better be good! ,has just joined twitter it better be good
0,Where in Singapore do they sell Dujour? ,where in singapore do they sell dujour
0,"#iranelection The &quot;yellow Press&quot; is alive and well in the 21st century, how quickly we forget the USS Maine ",the quotyellow pressquot is alive and well in the st century how quickly we forget the uss maine
0,haven't been on all day  went to bed late last night!,havent been on all day went to bed late last night
1,"where's all the rain we were supposed to have today? not complaining tho, it's lovely &amp; bright. very happy making ",wheres all the rain we were supposed to have today not complaining tho its lovely amp bright very happy making
1,"@claire_stokoe thank you, it only took me two minutes, thankfully the style of envirowise.gov.uk was already there for the taking ",thank you it only took me two minutes thankfully the style of envirowisegovuk was already there for the taking
0,ps: i think twitter sucks if you dont have free unlimited texts. ,ps i think twitter sucks if you dont have free unlimited texts
1,"@xDorkyStacy Ha! THAT SOUNDS SO WRONG STACY! lmao  i love you. and when I take one, I'll think of you too. haha, and on youtube. ",ha that sounds so wrong stacy lmao i love you and when i take one ill think of you too haha and on youtube
1,@gwyn007 @waz7710    no no really its ok! u try em out and then u can see which works and doesnt  by that time its to late,no no really its ok u try em out and then u can see which works and doesnt by that time its to late
0,Who else misses Parade the day incredibly much.. ,who else misses parade the day incredibly much
0,I was caller number one. ,i was caller number one
0,@StewartWade ditto!! Goodnight &amp; rest well!! Go play the lottery! I bought a ticket when I was n FL last week but no luck! ,ditto goodnight amp rest well go play the lottery i bought a ticket when i was n fl last week but no luck
1,"Mornin every1! Hope all is well I'm your worlds. I'm not sure why I'm at work at 7:45 this mornin, but I guess Its not all bad ",mornin every hope all is well im your worlds im not sure why im at work at this mornin but i guess its not all bad
0,should be going out but wants to stay put to participate in @RichardWiseman experiment - might have to do it by txt. (no photo part) ,should be going out but wants to stay put to participate in experiment might have to do it by txt no photo part
1,"If you can take criticism and blame without resentment, YOU'RE PROBABLY THE FAMILY DOG  see... http://jijr.com/hitZ cheers, Lou-ann",if you can take criticism and blame without resentment youre probably the family dog see cheers louann
0,"@TeeMonster Sorry, I know I'm late responding (15hrs  timezone troubles) but I think you would need to load Audacity to your compy",sorry i know im late responding hrs timezone troubles but i think you would need to load audacity to your compy
0,History exam today and dreading it ,history exam today and dreading it
0,After seeing mr. benningfield tonight it really made me start to miss my vand family like hXc  i love you band geeks! &lt;3,after seeing mr benningfield tonight it really made me start to miss my vand family like hxc i love you band geeks lt
1,Just downloaded a new Twitter app for my phone. So much better already. ,just downloaded a new twitter app for my phone so much better already
0,I seem to be making a habbit out of not falling asleep until very late ,i seem to be making a habbit out of not falling asleep until very late
0,There was a steady stream at my polling station mostly old folks surely they wouldn't vote for the fascists ... Are people that stupid? ,there was a steady stream at my polling station mostly old folks surely they wouldnt vote for the fascists are people that stupid
0,Missionaries had passport problems. Still havn't arrived  ya'll pray!,missionaries had passport problems still havnt arrived yall pray
1,had a very good night ,had a very good night
1,"Enjoying the morning just hanging out with Juliet in Victoria. She doesn't know it yet, but I'm taking her to see Il Divo tonight  #fb",enjoying the morning just hanging out with juliet in victoria she doesnt know it yet but im taking her to see il divo tonight
1,Off to the Miss Bikini Philippines pageant. Thanks to @veggiecircle for the ticket! ,off to the miss bikini philippines pageant thanks to for the ticket
1,i'm going global .. ,im going global
0,They are gone .. ,they are gone
1,Friends with scott again ,friends with scott again
1,I think that my lovely brother @ScottyHolloway should take me and his lovely sister @Ho11y to Old Town for some dinn dinn &amp; margaritas ,i think that my lovely brother should take me and his lovely sister to old town for some dinn dinn amp margaritas
1,Roast in the cooker and cakes in the oven soon.  Good morning!  Hope everyone is well today ,roast in the cooker and cakes in the oven soon good morning hope everyone is well today
0,Wooo I picked my sister and I miss the empty house. ,wooo i picked my sister and i miss the empty house
0,@aleahhh season is almost done with babe ,season is almost done with babe
0,off to work    byeee xox,off to work byeee xox
0,@alexandramusic Diversity won! damnn i wanted flawless to win ,diversity won damnn i wanted flawless to win
0,printin stuff for my aunt. dont ask y its so late. i forgot 2 do it earlier. ,printin stuff for my aunt dont ask y its so late i forgot do it earlier
0, can some one pleease tell me how to work out the total surface area of a square pyramid? ,can some one pleease tell me how to work out the total surface area of a square pyramid
1,@DENISE_RICHARDS love your hair  dont ever cut ur locks ,love your hair dont ever cut ur locks
1,@okse *Phew* Hate to think you and Colin had fallen out! Glad he's smiling for you. Hip Hip Hip Hooray!! ,phew hate to think you and colin had fallen out glad hes smiling for you hip hip hip hooray
1,@Dee_Dee_3 high low ,high low
1,"And the motivation came!  yay! Not finished yet, but well on my way!  Gonna go finish it. xx",and the motivation came yay not finished yet but well on my way gonna go finish it xx
0,Still cant get Jonas Bros tickets..dreading facing my niece later on ( I can see the tantrum now). Hope they put on another gig in Dublin ,still cant get jonas bros ticketsdreading facing my niece later on i can see the tantrum now hope they put on another gig in dublin
0,"I though the clothes of AW0910 Collection from +9 designers will be there, together with the visual arts, but it is not ",i though the clothes of aw collection from designers will be there together with the visual arts but it is not
1,On schedule now to soft launch tomorrow evening - already have first customer - lost cat ,on schedule now to soft launch tomorrow evening already have first customer lost cat
1,&quot;Thank You [Lord] for reminding me to see myself the way You see me!&quot; ,quotthank you lord for reminding me to see myself the way you see mequot
1,@CharlieeSimpson I Was Looking at an Old Poster From Busted The Other Day  You Had Really Short Hair And Everythng   Young Ta Old ,i was looking at an old poster from busted the other day you had really short hair and everythng young ta old
0,"Ugh, so bored today! ",ugh so bored today
1,home from a long day of work. i wore heels from 11am to 7pm. i must be crazy!! came right home to soak the feets. lol who wana rub em? ,home from a long day of work i wore heels from am to pm i must be crazy came right home to soak the feets lol who wana rub em
0,Still at work  This entire week has felt like an extremely long and awful Monday!,still at work this entire week has felt like an extremely long and awful monday
0,Upgraded iPhone to 3.0 but seem to have weaker link to tamu wireless ,upgraded iphone to but seem to have weaker link to tamu wireless
0,morning twitterland...off to work i go ,morning twitterlandoff to work i go
0,@Debbiebarnhill I'm such a plantaholic.... I spent several thousand $s the last few years planting at my brothers lake cabin - he sold it ,im such a plantaholic i spent several thousand s the last few years planting at my brothers lake cabin he sold it
1,Trying to learn some &quot;PHOTOGRAPHY&quot; ,trying to learn some quotphotographyquot
1,@KrisAllenmusic I'll be sure to vote for you in that competition.  A star with your name on it would go well with your Idol Trophy!,ill be sure to vote for you in that competition a star with your name on it would go well with your idol trophy
0,already miss baby donkey ,already miss baby donkey
0,@kpsomotragos I have it on good authority that we'll be getting it around 3am. ,i have it on good authority that well be getting it around am
0,Just heard gun shots in my neighborhood!!! ,just heard gun shots in my neighborhood
0,Just watched hella home movies with my aunt and uncle. I miss the days where our whole family got along ,just watched hella home movies with my aunt and uncle i miss the days where our whole family got along
0,I am sooo tired!! My eyes literally can't stay open ,i am sooo tired my eyes literally cant stay open
0,I hate word challenge on facebook! ,i hate word challenge on facebook
0,is sad she couldn't go out with her girls tonight  It's been too long....,is sad she couldnt go out with her girls tonight its been too long
0,PACKING SUCKS! i miss my Lee ,packing sucks i miss my lee
1,O how i love you sammoons  o how i do. ,o how i love you sammoons o how i do
0,"Wants a free doughnut, Krispy Kremes are so expensive, but 10 million times better than other doughnuts. ",wants a free doughnut krispy kremes are so expensive but million times better than other doughnuts
1,new phone  tattoo on monday! Woo.. just had tea. yummy.,new phone tattoo on monday woo just had tea yummy
0,waiting for my hoe to come back ,waiting for my hoe to come back
0,"i just cried a lot  im so over that all , and i cant hear it anymore...",i just cried a lot im so over that all and i cant hear it anymore
0,Trying to get on facebook!!! ,trying to get on facebook
0,I want to post lol cats on here but I can't ,i want to post lol cats on here but i cant
1,@RobbieTaylor I have no comment about who won the game until this replay is completed. ,i have no comment about who won the game until this replay is completed
1,Thank you everyone. I seriously am I lucky guy to have such great and lovely friends. Let's keep in touch  chuckishere.com at #LAX,thank you everyone i seriously am i lucky guy to have such great and lovely friends lets keep in touch chuckisherecom at
0,friday gimmick in the office  but always looking forward for the weekend!,friday gimmick in the office but always looking forward for the weekend
1,TALK meeting tonight at Tampa Chamber at 6pm with @WOMlinda as guest speaker on Word of Mouth Marketing! Happy Hour after @ Tinatapas ,talk meeting tonight at tampa chamber at pm with as guest speaker on word of mouth marketing happy hour after tinatapas
1,successfully obtained  visa entries to enter  and stay in the Royal Kingdom of Thailand! ,successfully obtained visa entries to enter and stay in the royal kingdom of thailand
1,Downtown Disney ,downtown disney
0,missing my mom ,missing my mom
0,A little sad  pretty bad news and feel too much insecure about my playing.,a little sad pretty bad news and feel too much insecure about my playing
0,@HuniB oOhwee naw i just been chillin tryna get use to this new work schedule of having to be at wrk @ 7... ,oohwee naw i just been chillin tryna get use to this new work schedule of having to be at wrk
1,@juzgalvez Hahaha! Don't be scared. They need fresh minds and you're it. ,hahaha dont be scared they need fresh minds and youre it
1,grandparents arrive tomorrow... good nite ,grandparents arrive tomorrow good nite
1,that was a good chat!  keep u posted guys...,that was a good chat keep u posted guys
0,@BrokenStruggle to much waffle &amp; not enough drinking going on. he's a less annoying version of numpty! &amp; he's not you which makes me ,to much waffle amp not enough drinking going on hes a less annoying version of numpty amp hes not you which makes me
1,@theclimbx3 i knooow  its the pizza girl episode xD &lt;3,i knooow its the pizza girl episode xd lt
1,"Random drunk girl sitting by my car: &quot;Is that your man bag?&quot;  Me: &quot;Yes, that's my man bag.&quot;  BTW, its name is Butch  ",random drunk girl sitting by my car quotis that your man bagquot me quotyes thats my man bagquot btw its name is butch
1,lots of cool ppl  ~~&gt; @actionchick @thewildjoker @walterdoc @JGDemas @amilya @williger  #followfriday,lots of cool ppl gt
1,Alright this is my debute twitt  yay lol,alright this is my debute twitt yay lol
0,@Spitphyre girls i am outta it then  my exams,girls i am outta it then my exams
0,Why do peep toe shoes hurt so bad ,why do peep toe shoes hurt so bad
1,@Alyssa_Milano do celebs get more characters than the rest of us? ,do celebs get more characters than the rest of us
0,need to charge my mac... ,need to charge my mac
1,Keyshia cole loves bebe too!!! ,keyshia cole loves bebe too
0,@dstarr I want my bed  x,i want my bed x
1,"Dang it....BRB....have to get the cake, candles and ice cream out and sing happy birthday to my niece. Sweet 16 ",dang itbrbhave to get the cake candles and ice cream out and sing happy birthday to my niece sweet
1,"@StiffValentine Olympus E-410.  Besides the recent digital lenses, I also got an old 50mm OM lens which mounts via a simple adapter.  ",olympus e besides the recent digital lenses i also got an old mm om lens which mounts via a simple adapter
0,"is going to watch the brewer game, eat soup, play sims and sit in a vaporizer filled room. stupid cold. this sucks. ",is going to watch the brewer game eat soup play sims and sit in a vaporizer filled room stupid cold this sucks
0,Hmmm.... My whole body feels sore! ,hmmm my whole body feels sore
1,@Venyadosae I'm sooo happy you'll get to re-take penguin pics! I collect penguin stuff and am a penguin FREAK! Can't wait to see ,im sooo happy youll get to retake penguin pics i collect penguin stuff and am a penguin freak cant wait to see
0,"My server has been going down lots lately, it makes me a sad WoW player  lol",my server has been going down lots lately it makes me a sad wow player lol
1,how would you feel if @taylorswift13 was in a GoBernos video? eh eh ,how would you feel if was in a gobernos video eh eh
0,"@timdifford cheers, I spotted that - couldn't find it on the App Store though ",cheers i spotted that couldnt find it on the app store though
0,sore throat ,sore throat
1,He'd go anywhere with me ,hed go anywhere with me
1,@LexiePixie your tarot twreading is next. ,your tarot twreading is next
1,@Bowl_the_Bunny lol love how we put some in stars: *some* haha...*crosses fingers* i hope you get more ,lol love how we put some in stars some hahacrosses fingers i hope you get more
0,This tea taste like pure WATER!!!  Yuck!,this tea taste like pure water yuck
0,sad that it's not my birthday anymore and that my balloon is deflating ,sad that its not my birthday anymore and that my balloon is deflating
0,"Great to get bk online, my own net was down ",great to get bk online my own net was down
0,St Andrews is scaring me. ,st andrews is scaring me
1,Finally done work YAY ,finally done work yay
0,@DTatStar not nice  lol,not nice lol
0,i aint alive....im just breathing to death ,i aint aliveim just breathing to death
1,Sorry you missed it. Good night! ,sorry you missed it good night
0,oopss did that twice  D: im such a silly moo.,oopss did that twice d im such a silly moo
1,"@acj525 mummmmmmmmmmm,  can you put the pizza in the oven ",mummmmmmmmmmm can you put the pizza in the oven
1,@ibbypop haha yeeahh yeahh you know its only till 2:30 so its not too bad! ,haha yeeahh yeahh you know its only till so its not too bad
0,@Jagusti shit! I thought it was months away  I'm not in Sheffield this weekend ,shit i thought it was months away im not in sheffield this weekend
1,@Shadez mmm...i wouldn't mind li'l Katy's either.. ,mmmi wouldnt mind lil katys either
1,On a JEW mood. Downloading Futures. Chase the Light naman mamaya. Haha. ,on a jew mood downloading futures chase the light naman mamaya haha
1,Wishes @kirstiealley a Happy Mother's Day! ,wishes a happy mothers day
0,"More rain due, ugh, going to a graduation today and was hoping the kids could go swimming ",more rain due ugh going to a graduation today and was hoping the kids could go swimming
0,woke up early today...dont wanna go to school tomorrow... ,woke up early todaydont wanna go to school tomorrow
0,I can't seem to fall asleep tonight ,i cant seem to fall asleep tonight
1,"#EU09 In 5 years we need a best coverage. World, take a look here, yes, here, Europe is moving ",in years we need a best coverage world take a look here yes here europe is moving
1,That should give you happy thoughts ,that should give you happy thoughts
0,@monzongo2009 OH NO!!!  Get well soon   I'm trying to get well myself in the midst of Merola.  Sending you virtual antibiotics ,oh no get well soon im trying to get well myself in the midst of merola sending you virtual antibiotics
0,Dam texts woke me up ,dam texts woke me up
0,"I could seriously go back to sleep  working 3-11 tonight w/ mitch...but toni won't be there...it's not the same, but i hope it's fun! ilu!",i could seriously go back to sleep working tonight w mitchbut toni wont be thereits not the same but i hope its fun ilu
1,eatin an icecream ,eatin an icecream
1,"@FifthSenseNYC I'll be giving the Mark Birley a wear later this week, even though I'm not a &quot;quiet man&quot;. ",ill be giving the mark birley a wear later this week even though im not a quotquiet manquot
1,happy birthday to andy hurley ,happy birthday to andy hurley
1,Hangin with my bestie suzi ,hangin with my bestie suzi
0," FML.. today sucks.. i just hope the dance will bring my soul up.. i pray, but im still sad..i hateee todayyyyyy!!! &gt;;(",fml today sucks i just hope the dance will bring my soul up i pray but im still sadi hateee todayyyyyy gt
1,But I will follow ,but i will follow
0,I'm saying good bye to a good friend tonight... kinda sad ,im saying good bye to a good friend tonight kinda sad
1,my last nite in work for weeks.....ah im in such good humour ,my last nite in work for weeksah im in such good humour
0,"My Sonic skills have not improved... Running, fine. Spinning, awesome. Jump from platform to platform? The fail whale grabs me ",my sonic skills have not improved running fine spinning awesome jump from platform to platform the fail whale grabs me
0,"saw a red balloon flying outside my window. somewhere out there, a kid must be crying because the wind blew his balloon away... ",saw a red balloon flying outside my window somewhere out there a kid must be crying because the wind blew his balloon away
